Sample #,Sampled At,Sampled From,Declared Common Name,Species Declared on the Label,State of Origin,Sample Assessment,Year,isMislabeled
2019FCP-0000024391-21,Retail - Vente au détail,AB,SEABASS COLLARS,Not Declared - Non déclarée,Chile,U-I,2019,1
2019FCP-0000024391-22,Retail - Vente au détail,AB,RED SNAPPER,Not Declared - Non déclarée,Canada,ND-AD,2019,0
2019FCP-0000024391-23,Retail - Vente au détail,AB,HALIBUT,Not Declared - Non déclarée,Not Declared,S,2019,0
2019FCP-0000024391-24,Retail - Vente au détail,NL,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-25,Retail - Vente au détail,AB,COD,Not Declared - Non déclarée,Not Declared,S,2019,0
2019FCP-0000024391-26,Retail - Vente au détail,AB,KINGFISH,Not Declared - Non déclarée,Taiwan,U-I,2019,1
2019FCP-0000024391-27,Retail - Vente au détail,AB,HALIBUT,Not Declared - Non déclarée,United States,S,2019,0
2019FCP-0000024391-28,Retail - Vente au détail,PE,SOLE,Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-29,Retail - Vente au détail,AB,SEA BASS,Not Declared - Non déclarée,Chile,U-I,2019,1
2019FCP-0000024391-30,Imports - Importation,NB,SOLE,Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-31,Retail - Vente au détail,ON,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-32,Retail - Vente au détail,ON,TILAPIA,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-33,Retail - Vente au détail,ON,"TROUT, RAINBOW",Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-34,Retail - Vente au détail,ON,SOLE,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-35,Retail - Vente au détail,ON,BASA,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-36,Retail - Vente au détail,ON,"TUNA, YELLOWFIN",Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-37,Retail - Vente au détail,ON,RED SNAPPER,Not Declared - Non déclarée,Canada,U-I,2019,1
2019FCP-0000024391-38,Retail - Vente au détail,BC,HALIBUT,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-39,Retail - Vente au détail,NS,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-40,Retail - Vente au détail,NS,HALIBUT,Not Declared - Non déclarée,Canada,S,2019,0
